site_id,year,cntry_iso,cntry_name,latitude,longitude,catalog_id,flr_type,cluster,impact_class,flr_volume_log1p,dtc_freq,clr_obs,avg_temp,ellip,impact_score,anomaly_score
bc36062ebdcd0014940cb2f60ff24bd3,2013,KAZ,Kazakhstan,47.880032,57.461328,VNF_e2012-2015_n17357_x0574613E_y478800N_v1.0,upstream,0,Low,0.6515310775898537,99.3363,452.0,1731.29,1.46697,14.820419443602162,7.59999466803764
8b665f6024b4816719b64b260d3bcada,2014,KAZ,Kazakhstan,47.880032,57.461328,VNF_e2012-2015_n17357_x0574613E_y478800N_v1.0,upstream,0,Low,0.6386746783688952,100.0,462.0,1731.29,1.46697,14.578168548398716,7.484245564521939
41dcfad8a3e028822569361712b00d19,2015,KAZ,Kazakhstan,48.233693,57.351561,VNF_e2012-2015_n17339_x0573516E_y482337N_v1.0,upstream,0,Low,0.5214567161157874,98.9218,371.0,1805.62,1.34053,12.166383495433488,6.229428306856529
d021126ba7011359fbcdfe435bc6a71e,2016,KAZ,Kazakhstan,48.233693,57.351561,VNF_e2012-2015_n17339_x0573516E_y482337N_v1.0,upstream,0,Low,0.4943263344043978,100.0,347.0,1805.62,1.34053,11.645988100641432,5.95632738365405
f41136d0d3adc983ac59d29731ed7874,2014,KAZ,Kazakhstan,48.233693,57.351561,VNF_e2012-2015_n17339_x0573516E_y482337N_v1.0,upstream,0,Low,0.4870268307248852,100.0,451.0,1805.62,1.34053,11.497711637056485,5.938103130356199
1c8d3ed16af19e9c8acf156baf27caa7,2012,KAZ,Kazakhstan,47.880032,57.461328,VNF_e2012-2015_n17357_x0574613E_y478800N_v1.0,upstream,0,Low,0.4389830483699505,99.4937,395.0,1731.29,1.46697,10.507366610790031,5.412823090341253
63860dc1b9d5a73af7b6a7026e420a80,2013,KAZ,Kazakhstan,48.233693,57.351561,VNF_e2012-2015_n17339_x0573516E_y482337N_v1.0,upstream,0,Low,0.3969689174804433,97.9545,440.0,1805.62,1.34053,9.610083360853425,4.988375013760046
b490ea3d87c75792473f24e07934ac83,2018,KAZ,Kazakhstan,48.233775,57.351284,KAZ_UPS_2015_57.3513E_48.2338N_v3.0,upstream,0,Low,0.3988105287613512,99.0,215.0,1800.0,1.75,9.677271202298444,4.901001192547072
fdfc42a4620763c1dde8df50f21894e4,2015,KAZ,Kazakhstan,47.880032,57.461328,VNF_e2012-2015_n17357_x0574613E_y478800N_v1.0,upstream,0,Low,0.4068254963603215,78.2609,368.0,1731.29,1.46697,9.249373229978431,4.769310270903195
0dccad05e2ccab70849e05b80450bc70,2012,KAZ,Kazakhstan,48.233693,57.351561,VNF_e2012-2015_n17339_x0573516E_y482337N_v1.0,upstream,0,Low,0.3400860311358303,98.9418,378.0,1805.62,1.34053,8.482729545788544,4.391364772894272
2f7c3f19ef90b1bc3fd06960daeb03eb,2012,TKM,Turkmenistan,39.398451,53.186816,VNF_e2012-2015_n18804_x0531868E_y393985N_v1.0,upstream,2,High,0.3315155180779984,97.7199,307.0,1683.69,1.2266,8.273831638385781,4.248743776182138
655f9dd55a00b257830526a1784b282f,2019,KAZ,Kazakhstan,48.233619,57.351507,KAZ_UPS_2015_57.3515E_48.2336N_v0.2,upstream,0,Low,0.3354206953740245,95.9459,222.0,1794.18,1.99248,8.302629882594859,4.217443973555494
a4a8833214b5af606e1dbe15c58a19f1,2015,KAZ,Kazakhstan,48.3849,57.425166,VNF_e2012-2015_n17353_x0574252E_y483849N_v1.0,upstream,0,Low,0.3193728475107169,98.916,369.0,1740.51,1.41471,8.061243121499258,4.17578285107221
e554e986c4648a102dcf82b121dc217e,2019,TKM,Turkmenistan,39.398269,53.186833,TKM_UPS_2015_53.1868E_39.3983N_v0.2,upstream,0,Low,0.3240285642739464,94.8276,232.0,1731.79,2.0234,8.039366630864388,4.09118869177628
cb9c881f228873924f3cfe60cdb90f91,2012,KAZ,Kazakhstan,48.326455,57.433006,VNF_e2012-2015_n17354_x0574330E_y483265N_v1.0,upstream,2,High,0.3052482544439238,97.9434,389.0,1781.03,1.28595,7.746624699141477,4.029226328065362
36d8eb11b2eab8b0bc2effadb93784a4,2018,TKM,Turkmenistan,39.398408,53.186861,TKM_UPS_2015_53.1869E_39.3984N_v3.0,upstream,0,Low,0.3150081531994493,96.0,242.0,1734.0,1.97,7.889526232263259,4.021644836561737
c0cb06bec5b6394b55c049afd2f98dba,2012,KAZ,Kazakhstan,48.162385,57.146304,VNF_e2012-2015_n17317_x0571463E_y481624N_v1.0,upstream,2,High,0.2966627702439033,99.1803,366.0,1807.2,1.27211,7.607456209330681,3.9472764917621146
ecce2153aaaa2222ac4961221f10f372,2013,TKM,Turkmenistan,39.398451,53.186816,VNF_e2012-2015_n18804_x0531868E_y393985N_v1.0,upstream,2,High,0.2798911035176299,97.6608,342.0,1683.69,1.2266,7.223489935043235,3.74239012881194
64d12bea1112fb7aac6106d3566863dd,2014,KAZ,Kazakhstan,48.326455,57.433006,VNF_e2012-2015_n17354_x0574330E_y483265N_v1.0,upstream,2,High,0.2456402897610769,97.9775,445.0,1781.03,1.28595,6.536765940391903,3.4544044755722956
f27e2af17e2d0936019685f1cf943a49,2013,KAZ,Kazakhstan,48.326455,57.433006,VNF_e2012-2015_n17354_x0574330E_y483265N_v1.0,upstream,2,High,0.244619655214048,96.0829,434.0,1781.03,1.28595,6.462070031614704,3.4111425426890727
7a19d5ccf47ddbcc584f853050631355,2012,TKM,Turkmenistan,37.908687,53.904092,VNF_e2012-2015_n18852_x0539041E_y379087N_v1.0,upstream,2,High,0.2629777708493431,77.5,320.0,1753.85,1.20603,6.305689388647966,3.2716618986250583
a966727e427c908a21e9877e2d60a78d,2015,KAZ,Kazakhstan,48.326455,57.433006,VNF_e2012-2015_n17354_x0574330E_y483265N_v1.0,upstream,2,High,0.216958052498765,97.878,377.0,1781.03,1.28595,5.951303150313853,3.1251139407483244
6293143c1ef46d53e93dc23e2efa85bc,2017,KAZ,Kazakhstan,48.234444,57.346503,-9999,upstream,0,Low,0.343656154664478,0.970803,274.0,1788.05,1.6015,5.76476111416023,2.9764665785854914
bb317583a7a81af7992283d7dc696ceb,2012,KAZ,Kazakhstan,48.473539,57.670447,VNF_e2012-2015_n17375_x0576704E_y484735N_v1.0,upstream,0,Low,0.2030595593987177,97.5676,370.0,1788.61,1.46188,5.660138863397392,2.9757683564298785
f200681e06dadf8c3eeaa8de429726aa,2014,TKM,Turkmenistan,40.169612,52.769149,VNF_e2012-2015_n17083_x0527691E_y401696N_v1.0,upstream,0,Low,0.2079421614307107,91.5452,343.0,1783.45,1.42626,5.587785392541727,2.925075491969788
3b4d6a269c198b9bb8e25b677628b301,2013,TKM,Turkmenistan,37.767764,53.916378,VNF_e2012-2015_n18853_x0539164E_y377678N_v1.0,upstream,0,Low,0.1970238924975535,96.6292,356.0,1764.54,1.37743,5.510806733578647,2.8935754098000763
c360340f2377e3e599bce0da5857e83b,2013,TKM,Turkmenistan,40.169612,52.769149,VNF_e2012-2015_n17083_x0527691E_y401696N_v1.0,upstream,0,Low,0.2004059604229227,89.7361,341.0,1783.45,1.42626,5.383172593742342,2.821693823752891
28f7b90ec2d2669ce0f07a828b21aff2,2012,TKM,Turkmenistan,38.736742,64.6201,VNF_e2012-2015_n21323_x0646201E_y387367N_v1.0,upstream,1,Medium,0.1789065380830857,98.4709,327.0,1833.12,2.49964,5.1952416182120364,2.7202014542673085
0f2f0659481ea6ee0c5545d4dbbd1b7e,2013,KAZ,Kazakhstan,48.162385,57.146304,VNF_e2012-2015_n17317_x0571463E_y481624N_v1.0,upstream,2,High,0.1786951869557838,94.4712,416.0,1807.2,1.27211,5.077025705578979,2.7089429603163713
954516951789d91caf1ee43ac199416e,2016,TKM,Turkmenistan,39.472232,52.71612,VNF_e2012-2015_n18775_x0527161E_y394722N_v1.0,upstream,0,Low,0.1687268536508392,99.361,313.0,1794.55,1.97485,5.013811941722313,2.621959734302017
b9bb9d6fac2ebc3fdf174f41e63501a3,2012,UZB,Uzbekistan,39.222344,64.61288,VNF_e2012-2015_n21320_x0646129E_y392223N_v1.0,upstream,0,Low,0.1674937503806434,98.8166,338.0,1808.65,1.97832,4.973257596047359,2.6151234216795936
2545417a527855c0096bb95e5b2cca6c,2013,KAZ,Kazakhstan,46.426353,64.683121,VNF_e2012-2015_n20640_x0646831E_y464264N_v1.0,upstream,0,Low,0.1594998616954695,97.7995,409.0,1772.83,1.59855,4.781906068700911,2.557619701017122
38d2866cdb8bc5c9725aed4ab11ca6cc,2014,KAZ,Kazakhstan,46.426353,64.683121,VNF_e2012-2015_n20640_x0646831E_y464264N_v1.0,upstream,0,Low,0.1562881937158715,96.9499,459.0,1772.83,1.59855,4.692467738922188,2.539782256557868
37b07546838d7d5247671984e0a90e25,2015,TKM,Turkmenistan,40.169612,52.769149,VNF_e2012-2015_n17083_x0527691E_y401696N_v1.0,upstream,0,Low,0.1803528810562431,84.0979,327.0,1783.45,1.42626,4.815238101076597,2.5301996956995887
1bdc6aa5756abbee4e2000aa074b2350,2012,UZB,Uzbekistan,38.811204,64.62133,VNF_e2012-2015_n21322_x0646213E_y388112N_v1.0,upstream,1,Medium,0.1584146683789812,98.8439,346.0,1777.48,2.38869,4.789609737553823,2.5276005677016427
d718331ea5d0533c1b2f4bd71356b7c7,2012,TKM,Turkmenistan,40.169612,52.769149,VNF_e2012-2015_n17083_x0527691E_y401696N_v1.0,upstream,0,Low,0.1696508083330117,91.4729,258.0,1783.45,1.42626,4.807905198952668,2.4894364704440757
eacf365bdb9073e46d04b434fd0dc0b0,2014,KAZ,Kazakhstan,46.050976,65.045244,VNF_e2012-2015_n20663_x0650452E_y460510N_v1.0,upstream,0,Low,0.1495812822989806,98.8662,441.0,1794.6,1.55176,4.61081034165505,2.4892761385694606
d43fc24348e44c1083e8baa83ede7b1e,2015,TKM,Turkmenistan,37.767764,53.916378,VNF_e2012-2015_n18853_x0539164E_y377678N_v1.0,upstream,0,Low,0.1571625045833684,96.4088,362.0,1764.54,1.37743,4.694815764915771,2.4888057319202512
6e66d492b707b764bb50195e2d24f0a7,2013,TKM,Turkmenistan,37.929057,53.922442,VNF_e2012-2015_n18856_x0539224E_y379291N_v1.0,upstream,2,High,0.153518686447221,98.5994,357.0,1815.44,1.28073,4.68319250629434,2.4803059305665247
2d648f8ce5615d199bd89fb05c0b7c1a,2014,KAZ,Kazakhstan,46.465696,64.993098,VNF_e2012-2015_n20659_x0649931E_y464657N_v1.0,upstream,0,Low,0.147939085184473,99.7647,425.0,1801.66,1.7609,4.603043825033206,2.476790729720904
c896bf2815666bf8fff0270a893a2e2a,2014,KAZ,Kazakhstan,45.899064,53.283252,VNF_e2012-2015_n17123_x0532833E_y458991N_v1.0,upstream,0,Low,0.1519540564442244,97.3545,378.0,1783.61,1.42527,4.615951575946236,2.4579757879731177
4870b87479f957e762539b336878a0ce,2012,KAZ,Kazakhstan,46.426353,64.683121,VNF_e2012-2015_n20640_x0646831E_y464264N_v1.0,upstream,0,Low,0.1458675719822537,98.939,377.0,1772.83,1.59855,4.537446455369174,2.4181855932759846
2c09eb0c7eef3888f6410389ced791ce,2014,TKM,Turkmenistan,37.767764,53.916378,VNF_e2012-2015_n18853_x0539164E_y377678N_v1.0,upstream,0,Low,0.1564094483164813,92.0,350.0,1764.54,1.37743,4.5539437566824414,2.4119181149003603
5d9c545e99204cd1f5504a6ad4e8d443,2016,KAZ,Kazakhstan,48.326455,57.433006,VNF_e2012-2015_n17354_x0574330E_y483265N_v1.0,upstream,2,High,0.1485728089604129,96.4187,363.0,1781.03,1.28595,4.520613321373348,2.4022421445576416
b8a15f25f42a8ef33a9594b124725750,2015,TKM,Turkmenistan,37.929057,53.922442,VNF_e2012-2015_n18856_x0539224E_y379291N_v1.0,upstream,2,High,0.14217490362383,97.2145,359.0,1815.44,1.28073,4.413317847234239,2.3464438698536787
425b5724d0ad7cbfa0dcf292a7340dbe,2014,TKM,Turkmenistan,37.929057,53.922442,VNF_e2012-2015_n18856_x0539224E_y379291N_v1.0,upstream,2,High,0.1419620117510659,98.209,335.0,1815.44,1.28073,4.437319479785455,2.345541460322835
d0c57e1e2895e321d4f399c391aa5504,2015,KAZ,Kazakhstan,46.426353,64.683121,VNF_e2012-2015_n20640_x0646831E_y464264N_v1.0,upstream,0,Low,0.1394124482657284,96.4194,391.0,1772.83,1.59855,4.334556787759169,2.3242676411914127
d009a5afa4122264d5f4c9007a3dd675,2018,KAZ,Kazakhstan,48.327074,57.433146,KAZ_UPS_2015_57.4331E_48.3271N_v3.0,upstream,0,Low,0.1485406771474559,93.0,276.0,1726.0,2.08,4.422586442864208,2.306454511754685
efe35dfa42bd4e8051a621d3cb8f33e5,2014,KAZ,Kazakhstan,48.535569,57.221197,VNF_e2012-2015_n17321_x0572212E_y485356N_v1.0,upstream,2,High,0.1387749345736084,94.6731,413.0,1683.03,1.24241,4.271867299779912,2.3047508541910315
a6dee8da7461671cb9a820c2f87e244e,2014,TKM,Turkmenistan,39.398451,53.186816,VNF_e2012-2015_n18804_x0531868E_y393985N_v1.0,upstream,2,High,0.1420748290676904,91.989,362.0,1683.69,1.2266,4.262448093895515,2.2726218964101235
