cntry_name,cntry_iso,bcm_sum_up,flr_cnt_up,bcm_sum_dn,flr_cnt_dn,bcm_sum_al,flr_cnt_al
Russian Federation,RUS,19.87644509,2226,1.62533084,84,21.50177593,2310
Iran,IRN,17.67036518,429,1.30440451,13,18.97476969,442
Iraq,IRQ,17.84304302,223,0.13018989,8,17.97323291,231
United States,USA,9.475281753,9199,0.40690151,154,9.882183263,9353
Algeria,DZA,8.420737506,328,1.04558112,14,9.466318626,342
Venezuela,VEN,6.997264308,180,1.16641713,16,8.163681438,196
Nigeria,NGA,7.474538187,203,0.26697718,5,7.741515367,208
Mexico,MEX,3.788968009,236,0.84716333,15,4.636131339,251
Libya,LBY,3.634530466,135,0.41761316,8,4.052143626,143
Angola,AGO,3.743472019,68,0.05690349,2,3.800375509,70
Malaysia,MYS,2.711686409,81,0.45277248,12,3.164458889,93
Saudi Arabia,SAU,2.315054628,528.5,0.6246997,21,2.939754328,549.5
Oman,OMN,2.574353104,234,0.07627914,4,2.650632244,238
Egypt,EGY,2.289954287,199,0.28125737,21,2.571211657,220
Indonesia,IDN,2.066730401,272,0.41323018,13,2.479960581,285
Kazakhstan,KAZ,2.422259572,272,0.02610846,2,2.448368032,274
India,IND,1.501643383,171,0.56867698,39,2.070320363,210
China,CHN,1.555694474,1106,0.28921084,182,1.844905314,1288
Turkmenistan,TKM,1.665414053,169,0.01235277,1,1.677766823,170
Gabon,GAB,1.502830023,60,0,0,1.502830023,60
Canada,CAN,1.342812312,2625,0.10603311,28,1.448845422,2653
United Kingdom,GBR,1.354848915,102,0.04647527,18,1.401324185,120
Brazil,BRA,1.104797034,247,0.22780143,19,1.332598464,266
Qatar,QAT,0.810181275,37,0.50887465,14,1.319055925,51
Syria,SYR,1.190654177,90,0.03483077,2,1.225484947,92
Congo,COG,1.136706691,38,0,1,1.136706691,39
United Arab Emirates,ARE,0.84001902,80,0.2925317,7,1.13255072,87
Ecuador,ECU,1.068421077,95,0.02094592,2,1.089366997,97
Cameroon,CMR,1.04338809,31,0,0,1.04338809,31
Vietnam,VNM,0.977213903,33,0,0,0.977213903,33
Kuwait,KWT,0.790887866,64.5,0.12559464,7,0.916482506,71.5
Uzbekistan,UZB,0.8491501,147,0.00240662,2,0.85155672,149
Australia,AUS,0.54541348,203,0.1506587,5,0.69607218,208
Argentina,ARG,0.510542416,356,0.0998041,16,0.610346516,372
Colombia,COL,0.549759329,129,0,1,0.549759329,130
Thailand,THA,0.372368348,41,0.04763517,13,0.420003518,54
Yemen,YEM,0.382226323,43,0.02488386,1,0.407110183,44
Sudan,SDN,0.382996359,21,0.00405503,1,0.387051389,22
Pakistan,PAK,0.362652886,106,0.00490006,4,0.367552946,110
Ghana,GHA,0.323211225,4,0,1,0.323211225,5
Brunei Darussalam,BRN,0.196714372,7,0.11005861,5,0.306772982,12
Equatorial Guinea,GNQ,0.275249826,12,0.03029758,1,0.305547406,13
Tunisia,TUN,0.281204768,57,0.01616877,3,0.297373538,60
Norway,NOR,0.199915307,60,0.03842408,12,0.238339387,72
Trinidad and Tobago,TTO,0.115406861,8,0.12266745,3,0.238074311,11
Chad,TCD,0.233559147,6,0,1,0.233559147,7
South Africa,ZAF,0.015817598,4,0.17401396,12,0.189831558,16
Azerbaijan,AZE,0.151290772,13,0.03468284,3,0.185973612,16
Democratic Republic of the Congo,COD,0.185849547,12,0,0,0.185849547,12
Ukraine,UKR,0.155714133,102,0.00441162,4,0.160125753,106
Philippines,PHL,0.132062141,3,0.00847554,5,0.140537681,8
Peru,PER,0.09298013,30,0.04586911,4,0.13884924,34
Bahrain,BHR,0.131625753,15,0,2,0.131625753,17
Denmark,DNK,0.109093483,10,0.00293821,2,0.112031693,12
New Zealand,NZL,0.099577208,23,0.00150237,1,0.101079578,24
France,FRA,0.012544569,5,0.08251123,24,0.095055799,29
Cote d'Ivoire,CIV,0.075285743,5,0.00304995,1,0.078335693,6
Australia/Indonesia,TLS,0.074505252,3,0,0,0.074505252,3
Guatemala,GTM,0.070624903,2,0,0,0.070624903,2
Spain,ESP,0.00586426,1,0.05380696,18,0.05967122,19
Belarus,BLR,0.004906013,4,0.04764559,5,0.052551603,9
Papua New Guinea,PNG,0.03772474,7,0.01241746,2,0.0501422,9
Poland,POL,0.030817609,13,0.01639794,6,0.047215549,19
Cuba,CUB,0.003932474,6,0.03605916,4,0.039991634,10
Mauritania,MRT,0.039728009,2,0,0,0.039728009,2
Myanmar,MMR,0.036071156,4,0.0033967,1,0.039467856,5
Niger,NER,0.039221567,3,0,0,0.039221567,3
Chile,CHL,0.030752604,35,0.00757295,3,0.038325554,38
Japan,JPN,0,1,0.03764094,29,0.03764094,30
Italy,ITA,0.000594253,4,0.03658134,17,0.037175593,21
Bolivia,BOL,0.026430383,29,0.00897853,1,0.035408913,30
Belgium,BEL,0,0,0.03505676,14,0.03505676,14
Turkey,TUR,0.019102433,2,0.0138577,5,0.032960133,7
Curacao,CUW,0,0,0.02809044,1,0.02809044,1
Suriname,SUR,0,0,0.02788303,1,0.02788303,1
Taiwan,TWN,0.023700246,5,0,3,0.023700246,8
Albania,ALB,0.016363417,2,0.00523464,1,0.021598057,3
Hungary,HUN,0.006302027,10,0.01277641,5,0.019078437,15
Romania,ROU,0.009601331,12,0.00928608,3,0.018887411,15
Finland,FIN,0,0,0.0181405,5,0.0181405,5
Netherlands,NLD,0.007743189,7,0.01035209,18,0.018095279,25
Sri Lanka,LKA,0,0,0.01657244,1,0.01657244,1
South Korea,KOR,0,1,0.01602907,12,0.01602907,13
Senegal,SEN,0,0,0.01554165,1,0.01554165,1
Germany,DEU,0.000626041,1,0.01467826,18,0.015304301,19
Mozambique,MOZ,0.011932429,3,0,0,0.011932429,3
Bangladesh,BGD,0.006478671,6,0.0042525,1,0.010731171,7
Singapore,SGP,0,0,0.00962888,11,0.00962888,11
Croatia,HRV,0.006577379,13,0.0028208,4,0.009398179,17
Serbia,SRB,0.006039306,3,0.00101126,3,0.007050566,6
Kyrgyzstan,KGZ,0,0,0.00668227,1,0.00668227,1
Portugal,PRT,0,0,0.00509806,6,0.00509806,6
Greece,GRC,0,0,0.00463785,3,0.00463785,3
Slovakia,SVK,0,0,0.00422504,4,0.00422504,4
Zambia,ZMB,0,0,0.00401071,1,0.00401071,1
Jordan,JOR,0,2,0.00329558,1,0.00329558,3
Mongolia,MNG,0.003226053,3,0,0,0.003226053,3
Jamaica,JAM,0,0,0.0031661,1,0.0031661,1
Sweden,SWE,0.000587996,1,0.00249314,5,0.003081136,6
Israel,ISR,0.00269567,1,0,1,0.00269567,2
Czech Republic,CZE,0.000531404,1,0.00169906,4,0.002230464,5
Estonia,EST,0,0,0.00198558,1,0.00198558,1
Austria,AUT,0,1,0.00185905,1,0.00185905,2
Ethiopia,ETH,0.001564629,2,0,0,0.001564629,2
North Korea,PRK,0,0,0.0013731,1,0.0013731,1
Greenland,GRL,0.001012144,1,0,0,0.001012144,1
Uruguay,URY,0,0,0.00060494,1,0.00060494,1